transaction_id,customer_id,transaction_timestamp,transaction_amount,payment_channel,authentication_type,device_risk_score,anomaly_score,transaction_velocity_score,geo_distance_km,merchant_category,customer_age,account_tenure_months,fraud_flag
TXN0000040,CUST77415,2024-01-04 09:42:42,28800.00,Net Banking,Password,97,96,92,620.0,Travel,59,185,1
TXN0000041,CUST45888,2024-01-05 10:15:12,890.00,UPI,OTP,19,17,18,2.8,Retail,29,20,0
TXN0000042,CUST66214,2024-01-05 10:25:41,13700.00,Credit Card,2FA,86,85,82,130.0,Electronics,49,98,1
TXN0000043,CUST11458,2024-01-05 10:38:22,470.00,Mobile Wallet,Biometric,8,10,7,0.5,Food,20,4,0
TXN0000044,CUST87441,2024-01-05 10:50:18,5900.00,Debit Card,PIN,54,56,53,32.0,Healthcare,37,54,0
TXN0000045,CUST22584,2024-01-05 11:02:11,24500.00,Net Banking,Password,92,94,90,470.0,Travel,53,160,1
TXN0000046,CUST55248,2024-01-05 11:15:05,1650.00,UPI,OTP,24,23,22,4.0,Retail,31,32,0
TXN0000047,CUST77895,2024-01-05 11:25:33,11800.00,Credit Card,PIN,81,80,79,105.0,Electronics,46,80,1
TXN0000048,CUST33125,2024-01-05 11:40:12,620.00,Mobile Wallet,Biometric,13,11,12,0.9,Food,22,8,0
TXN0000049,CUST95147,2024-01-05 11:55:27,7400.00,Debit Card,OTP,57,55,56,36.0,Healthcare,39,60,0
TXN0000050,CUST66418,2024-01-05 12:05:19,32500.00,Net Banking,Password,99,98,97,700.0,Travel,61,210,1
